期号	号码

123	456
124	456
125	456
126	456
127	456
128	456
129	456
130	456
131	456
132	456
133	456
134	456
135	456
136	456
137	456
138	456
139	456
140	456
141	456
142	456
143	456
144	456
145	456
146	456
147	456
148	456
149	456
150	456
151	456
152	456
153	456
154	456
155	456
156	456
157	456
158	456
159	456
160	456
161	456
162	456
163	456
164	456
165	456
166	456
167	456
168	456
169	456
170	456
171	456
172	456
173	456
174	456
175	456
176	456
177	456
178	456
179	456
180	456
181	456
182	456
183	456
184	456
185	456
186	456
187	456
188	456
189	456
190	456
191	456
192	456
193	456
194	456
195	456
196	456
197	456
198	456
199	456
200	456
201	456
202	456
203	456
204	456
205	456
206	456
207	456
208	456
209	456
210	456
211	456
212	456
213	456
214	456
215	456
216	456
217	456
218	456
219	456
220	456
221	456
222	456

